Batsman_Name_clean,total_runs,avg_runs,total_4s,total_6s,total_wickets,total_boundaries,avg_pitchLine,avg_pitchLength,balls_faced,strike_rate,boundary_rate,dot_ball_pct,boundary_ball_ratio,avg_runs_death,avg_runs_middle,avg_runs_powerplay,dismissal_ratio,run_std,consistency_index,avg_vs_left-arm_fast,avg_vs_left-arm_fast-medium,avg_vs_left-arm_medium,"avg_vs_left-arm_medium,slow_left-arm_orthodox",avg_vs_left-arm_medium-fast,avg_vs_left-arm_wrist-spin,avg_vs_legbreak,avg_vs_legbreak_googly,avg_vs_right-arm_fast,avg_vs_right-arm_fast-medium,"avg_vs_right-arm_fast-medium,legbreak","avg_vs_right-arm_fast-medium,legbreak_googly",avg_vs_right-arm_medium,"avg_vs_right-arm_medium,legbreak","avg_vs_right-arm_medium,right-arm_offbreak",avg_vs_right-arm_medium-fast,"avg_vs_right-arm_medium-fast,right-arm_offbreak",avg_vs_right-arm_offbreak,"avg_vs_right-arm_offbreak,legbreak","avg_vs_right-arm_offbreak,legbreak_googly",avg_vs_slow_left-arm_orthodox,avg_runs_day,avg_runs_daynight,avg_runs_night
amir hamza,5,0.5555555555555556,0,0,0,0,1.7777777777777777,2.5555555555555554,9,55.55555555555556,0.0,,0.0,0.5555555555555556,0.0,0.0,0.0,0.5270462766947299,1.0540905533932545,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.0
andre fletcher,109,1.1978021978021978,8,6,0,14,1.7032967032967032,1.835164835164835,91,119.78021978021978,0.15384615384615385,,0.15384615384615385,0.8823529411764706,1.4333333333333333,1.1590909090909092,0.0,1.7270384427284136,0.6935581018982893,0.0,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.3333333333333333,1.0,0.8181818181818182,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4444444444444444,0.0,0.8461538461538461,1.2564102564102564
andre russell,181,1.547008547008547,18,8,7,26,1.7777777777777777,2.1538461538461537,117,154.7008547008547,0.2222222222222222,,0.2222222222222222,1.75,1.170731707317073,0.0,0.05982905982905983,1.8217825984823803,0.849172507808978,3.25,0.875,1.4285714285714286,0.0,2.0,0.0,0.6,0.5714285714285714,1.4761904761904763,1.0526315789473684,0.0,1.0,2.5,0.0,0.0,2.25,0.0,1.5,0.0,0.0,2.142857142857143,1.875,1.0,1.5494505494505495
andrew poynter,12,1.2,0,1,1,1,2.2,1.0,10,120.0,0.1,,0.1,1.3333333333333333,0.0,0.0,0.1,1.8737959096740262,0.6404109184963686,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333
andries gous,115,1.369047619047619,12,4,3,16,1.8095238095238095,1.9761904761904763,84,136.9047619047619,0.19047619047619047,,0.19047619047619047,0.0,1.6326530612244898,1.0606060606060606,0.03571428571428571,1.6774892447881162,0.8161285129980256,0.0,0.0,0.0,0.0,0.8,0.0,1.2857142857142858,0.0,1.4444444444444444,2.2666666666666666,0.0,0.0,0.625,0.0,0.0,0.0,0.0,1.5833333333333333,0.0,0.0,1.1111111111111112,1.1818181818181819,0.0,1.4901960784313726
andy balbirnie,256,1.1130434782608696,17,11,12,28,1.6304347826086956,2.0956521739130434,230,111.30434782608695,0.12173913043478261,,0.12173913043478261,0.5,1.175257731958763,1.104,0.05217391304347826,1.5819131493464438,0.7036054887812435,0.75,1.12,0.0,0.0,0.8333333333333334,0.0,1.1944444444444444,0.0,1.0,1.3953488372093024,0.0,0.0,0.0,0.0,0.0,1.35,0.0,0.7142857142857143,0.6,0.0,1.1764705882352942,0.8924731182795699,1.3636363636363635,1.0816326530612246
andy mcbrine,8,2.0,1,0,0,1,2.5,1.5,4,200.0,0.25,,0.25,2.3333333333333335,0.0,1.0,0.0,1.4142135623730951,1.4142125623738022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3333333333333335
angelo mathews,147,1.1136363636363635,7,8,4,15,1.7575757575757576,1.9393939393939394,132,111.36363636363636,0.11363636363636363,,0.11363636363636363,1.2916666666666667,1.0138888888888888,1.0,0.030303030303030304,1.5660897348488336,0.7110931307207159,0.0,0.5714285714285714,0.0,0.0,1.0,0.0,2.3,1.4444444444444444,0.782608695652174,1.0909090909090908,0.0,0.0,0.9545454545454546,0.0,0.0,0.0,0.0,2.375,0.0,0.0,0.631578947368421,1.0625,0.0,1.1206896551724137
anil sah,12,0.9230769230769231,2,0,1,2,2.0,1.5384615384615385,13,92.3076923076923,0.15384615384615385,,0.15384615384615385,0.0,0.6666666666666666,1.1428571428571428,0.07692307692307693,1.4411533842457842,0.6405121707762126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.9230769230769231,0.0,0.0
anrich nortje,8,0.8888888888888888,1,0,3,1,2.2222222222222223,1.3333333333333333,9,88.88888888888889,0.1111111111111111,,0.1111111111111111,1.75,0.2,0.0,0.3333333333333333,1.3642254619787417,0.6515698922887043,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.2
anshy rath,66,1.064516129032258,3,0,2,3,1.2741935483870968,2.096774193548387,62,106.4516129032258,0.04838709677419355,,0.04838709677419355,1.375,0.9565217391304348,0.0,0.03225806451612903,0.9209931870297746,1.1558337110306252,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,1.2222222222222223,0.75,1.375,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7272727272727273,0.5,0.0,1.25,0.0,1.625,0.9814814814814815
aqib ilyas,141,1.165289256198347,14,5,6,19,1.7603305785123966,1.8181818181818181,121,116.5289256198347,0.15702479338842976,,0.15702479338842976,0.0,1.09375,1.1910112359550562,0.049586776859504134,1.5882228403576144,0.7337059340048461,1.125,0.42857142857142855,1.2,0.0,0.0,0.0,1.3846153846153846,0.0,1.4,1.3888888888888888,1.0,0.0,1.0,0.0,0.0,1.2758620689655173,0.0,0.6,0.0,0.0,0.8571428571428571,1.2758620689655173,0.0,1.0634920634920635
arafat sunny,8,2.0,0,1,0,1,3.5,1.75,4,200.0,0.25,,0.25,2.0,0.0,0.0,0.0,2.8284271247461903,0.7071065311866358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
arshdeep singh,11,0.7857142857142857,1,0,0,1,1.6428571428571428,2.7142857142857144,14,78.57142857142857,0.07142857142857142,,0.07142857142857142,0.8333333333333334,0.5,0.0,0.0,1.1883130530663677,0.661200869994595,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6923076923076923,0.0,2.0
aryan dutt,16,1.4545454545454546,1,1,0,2,1.8181818181818181,2.3636363636363638,11,145.45454545454547,0.18181818181818182,,0.18181818181818182,1.4545454545454546,0.0,0.0,0.0,1.916436086262016,0.7589841925792229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4545454545454546,0.0,0.0
aryan lakra,1,0.3333333333333333,0,0,1,0,1.3333333333333333,3.3333333333333335,3,33.33333333333333,0.0,,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5773502691896258,0.5773492691913577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
asghar afghan,186,1.1204819277108433,8,9,8,17,2.036144578313253,1.6265060240963856,166,112.04819277108433,0.10240963855421686,,0.10240963855421686,1.375,1.1358024691358024,0.8666666666666667,0.04819277108433735,1.4885224755701454,0.7527472331477124,0.375,2.0,0.0,0.0,2.2,0.0,0.8,0.0,0.7857142857142857,1.0,0.0,0.0,0.6666666666666666,0.75,0.0,1.1296296296296295,0.0,1.25,0.0,0.0,1.3421052631578947,1.2962962962962963,0.7058823529411765,1.2095238095238094
ashish nehra,2,0.3333333333333333,0,0,1,0,1.8333333333333333,2.0,6,33.33333333333333,0.0,,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.5163977794943222,0.6454959743703235,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
ashton agar,35,1.206896551724138,0,3,2,3,1.3448275862068966,2.5517241379310347,29,120.6896551724138,0.10344827586206896,,0.10344827586206896,1.7222222222222223,0.36363636363636365,0.0,0.06896551724137931,1.8396294336637393,0.656053808220887,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.375,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,3.5,0.0,1.25,1.1904761904761905
asif ali,59,2.185185185185185,1,7,2,8,1.7777777777777777,2.111111111111111,27,218.5185185185185,0.2962962962962963,,0.2962962962962963,2.1153846153846154,4.0,0.0,0.07407407407407407,2.4657193838253533,0.8862258671013856,0.0,3.0,0.0,0.0,0.5,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.7777777777777777,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.185185185185185
assad vala,107,1.1888888888888889,10,4,7,14,1.5,2.2888888888888888,90,118.88888888888889,0.15555555555555556,,0.15555555555555556,0.0,1.6296296296296295,1.0,0.07777777777777778,1.6345596558139084,0.7273446137713973,0.0,1.0,0.0,0.0,0.25,0.0,1.875,0.0,1.0,1.3333333333333333,0.0,0.0,1.1428571428571428,0.0,0.0,1.3043478260869565,0.0,1.3333333333333333,0.0,1.0714285714285714,1.0,1.2093023255813953,0.0,0.75
avishka fernando,58,0.90625,1,2,5,3,1.484375,1.84375,64,90.625,0.046875,,0.046875,0.0,0.7916666666666666,1.25,0.078125,1.2436345862539302,0.7287102508298267,1.4,0.6666666666666666,0.0,0.0,2.5,0.3333333333333333,0.8,0.4,0.6,1.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.75,1.0,0.0,0.6,0.4666666666666667,0.0,1.0408163265306123
