,Batsman_Name_clean,total_runs,avg_runs,total_4s,total_6s,total_wickets,total_boundaries,mode_pitchLine,mode_pitchLength,balls_faced,strike_rate,boundary_rate,dot_ball_pct,dismissal_ratio,avg_runs_death,avg_runs_middle,avg_runs_powerplay,run_std,consistency_index,avg_vs_left-arm_fast,avg_vs_left-arm_fast-medium,avg_vs_left-arm_medium,"avg_vs_left-arm_medium,slow_left-arm_orthodox",avg_vs_left-arm_medium-fast,avg_vs_left-arm_wrist-spin,avg_vs_legbreak,avg_vs_legbreak_googly,avg_vs_right-arm_fast,avg_vs_right-arm_fast-medium,"avg_vs_right-arm_fast-medium,legbreak","avg_vs_right-arm_fast-medium,legbreak_googly",avg_vs_right-arm_medium,"avg_vs_right-arm_medium,legbreak","avg_vs_right-arm_medium,right-arm_offbreak",avg_vs_right-arm_medium-fast,"avg_vs_right-arm_medium-fast,right-arm_offbreak",avg_vs_right-arm_offbreak,"avg_vs_right-arm_offbreak,legbreak","avg_vs_right-arm_offbreak,legbreak_googly",avg_vs_slow_left-arm_orthodox,avg_runs_day,avg_runs_daynight,avg_runs_night
302,nathan mccullum,0,0.0,0,0,1,0,0,2,1,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,navneet dhaliwal,73,1.1774193548387097,8,3,3,11,2,2,62,117.74193548387098,0.1774193548387097,,0.04838709677419355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,neil rock,6,0.75,0,0,2,0,2,2,8,75.0,0.0,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,niall o'brien,21,1.105263157894737,1,0,1,1,0,2,19,110.5263157894737,0.05263157894736842,,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,nicholas kirton,103,1.3918918918918919,6,4,2,10,2,0,74,139.1891891891892,0.13513513513513514,,0.02702702702702703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,nicholas pooran,170,1.2142857142857142,13,8,9,21,2,2,140,121.42857142857142,0.15,,0.06428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,nikolaas davin,47,0.9215686274509803,6,1,3,7,2,2,51,92.15686274509804,0.13725490196078433,,0.058823529411764705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,nitish kumar,43,1.131578947368421,3,1,1,4,1,2,38,113.1578947368421,0.10526315789473684,,0.02631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,nizakat khan,25,1.1904761904761905,0,2,3,2,2,2,21,119.04761904761905,0.09523809523809523,,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,noor ali zadran,131,0.9776119402985075,9,2,5,11,2,2,134,97.76119402985076,0.08208955223880597,,0.03731343283582089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
