Full Name,match_phase,total_runs,balls_faced,boundaries,wickets,fours,sixes,strike_rate,boundary_pct,wicket_pct,dot_ball_pct,adaptability_index,adaptability_label,playing_role
Pieter Seelaar,Death,17,19,1,1,1,0,89.47,5.26,5.26,31.58,0.256,Low,allrounder
Pieter Seelaar,Middle,11,20,1,1,1,0,55.0,5.0,5.0,65.0,0.148,Low,allrounder
Pieter Seelaar,Powerplay,0,1,0,0,0,0,0.0,0.0,0.0,100.0,0.0,Low,allrounder
Pikky Ya France,Death,4,9,0,2,0,0,44.44,0.0,22.22,66.67,0.118,Low,middle-order batter
Pratik Athavale,Death,0,2,0,1,0,0,0.0,0.0,50.0,100.0,0.0,Low,wicketkeeper batter
Pratik Athavale,Middle,29,18,3,0,1,2,161.11,16.67,0.0,16.67,0.403,Moderate,wicketkeeper batter
Pratik Athavale,Powerplay,31,24,5,2,5,0,129.17,20.83,8.33,45.83,0.32,Low,wicketkeeper batter
Preston Mommsen,Death,12,12,0,0,0,0,100.0,0.0,0.0,8.33,0.299,Low,opening batter
Preston Mommsen,Middle,35,33,2,1,2,0,106.06,6.06,3.03,33.33,0.274,Low,opening batter
Quinton de Kock,Death,5,3,1,1,1,0,166.67,33.33,33.33,33.33,0.426,Moderate,wicketkeeper batter
Quinton de Kock,Middle,106,91,11,5,8,3,116.48,12.09,5.49,32.97,0.305,Low,wicketkeeper batter
Quinton de Kock,Powerplay,268,184,46,8,35,11,145.65,25.0,4.35,46.74,0.35,Moderate,wicketkeeper batter
Rachin Ravindra,Middle,8,9,0,1,0,0,88.89,0.0,11.11,33.33,0.236,Low,batting allrounder
Rachin Ravindra,Powerplay,2,4,0,0,0,0,50.0,0.0,0.0,50.0,0.158,Low,batting allrounder
Rahmanullah Gurbaz,Death,41,18,6,3,2,4,227.78,33.33,16.67,16.67,0.529,Moderate,wicketkeeper batter
Rahmanullah Gurbaz,Middle,98,87,8,3,3,5,112.64,9.2,3.45,39.08,0.279,Low,wicketkeeper batter
Rahmanullah Gurbaz,Powerplay,150,104,20,5,11,9,144.23,19.23,4.81,46.15,0.332,Moderate,wicketkeeper batter
Rangana Herath,Death,6,10,0,3,0,0,60.0,0.0,30.0,50.0,0.169,Low,bowler
Rashid Khan,Death,82,51,12,6,7,5,160.78,23.53,11.76,41.18,0.374,Moderate,bowling allrounder
Rashid Khan,Middle,6,11,0,1,0,0,54.55,0.0,9.09,54.55,0.154,Low,bowling allrounder
Rashid Khan,Powerplay,12,12,2,0,1,1,100.0,16.67,0.0,66.67,0.232,Low,bowling allrounder
Rassie van der Dussen,Death,43,23,5,0,2,3,186.96,21.74,0.0,17.39,0.446,Moderate,top-order batter
Rassie van der Dussen,Middle,83,77,6,1,4,2,107.79,7.79,1.3,25.97,0.296,Low,top-order batter
Rassie van der Dussen,Powerplay,48,49,3,1,2,1,97.96,6.12,2.04,40.82,0.25,Low,top-order batter
Ravi Rampaul,Middle,3,8,0,1,0,0,37.5,0.0,12.5,62.5,0.118,Low,bowler
Ravichandran Ashwin,Death,29,23,3,2,2,1,126.09,13.04,8.7,30.43,0.324,Low,bowling allrounder
Ravichandran Ashwin,Middle,8,17,0,0,0,0,47.06,0.0,0.0,52.94,0.148,Low,bowling allrounder
Ravinderpal Singh,Middle,0,2,0,1,0,0,0.0,0.0,50.0,100.0,0.0,Low,batter
Ravindra Jadeja,Death,45,31,6,2,5,1,145.16,19.35,6.45,29.03,0.367,Moderate,allrounder
Ravindra Jadeja,Middle,7,13,0,2,0,0,53.85,0.0,15.38,53.85,0.154,Low,allrounder
Reeza Hendricks,Middle,9,11,1,1,1,0,81.82,9.09,9.09,45.45,0.231,Low,opening batter
