Full Name,total_runs,balls_faced,total_fours,total_sixes,total_boundaries,total_wickets,strike_rate,average,dismissal_rate,boundary_pct,dot_ball_pct,vs_left_arm_fast,vs_left_arm_fast_medium,vs_left_arm_medium,vs_left_arm_mediumslow_left_arm_orthodox,vs_left_arm_medium_fast,vs_left_arm_wrist_spin,vs_legbreak,vs_legbreak_googly,vs_right_arm_fast,vs_right_arm_fast_medium,vs_right_arm_fast_mediumlegbreak,vs_right_arm_fast_mediumlegbreak_googly,vs_right_arm_medium,vs_right_arm_mediumlegbreak,vs_right_arm_mediumright_arm_offbreak,vs_right_arm_medium_fast,vs_right_arm_medium_fastright_arm_offbreak,vs_right_arm_offbreak,vs_right_arm_offbreaklegbreak,vs_right_arm_offbreaklegbreak_googly,vs_slow_left_arm_orthodox,avg_runs_death,avg_runs_middle,avg_runs_powerplay,adaptability_index,adaptability_label,run_std,consistency_index
Dasun Shanaka,219.0,196.0,16.0,9.0,25.0,12.0,111.73,18.25,16.33,12.76,41.84,1.0909090909090908,1.2608695652173914,0.0,0.0,0.8181818181818182,0.5,0.4,0.5,1.0,1.2222222222222223,0.0,0.0,1.0,0.0,0.0,1.7826086956521738,0.0,0.75,1.2222222222222223,0.0,1.0,1.2323232323232323,0.9603960396039604,0.0,0.842,High,1.5157382068014877,12.04
David Miller,275.0,217.0,15.0,13.0,28.0,5.0,126.73,55.0,43.4,12.9,36.87,1.0,1.3181818181818181,0.0,0.0,1.0,0.0,1.5,0.9333333333333333,1.0689655172413792,1.510204081632653,0.0,0.0,1.3333333333333333,0.0,0.0,1.0666666666666667,0.0,1.1904761904761905,0.0,0.0,1.1666666666666667,1.775,0.9848484848484849,0.2727272727272727,0.789,High,1.5852280358055681,34.695
David Warner,502.0,342.0,51.0,17.0,68.0,17.0,146.78,29.53,20.12,19.88,35.09,1.0833333333333333,1.1428571428571428,0.0,0.0,0.8125,0.0,1.7307692307692308,1.7142857142857142,1.4477611940298507,0.3333333333333333,0.0,0.0,1.3703703703703705,0.0,0.0,1.7674418604651163,0.0,1.532258064516129,0.0,0.7272727272727273,1.411764705882353,1.2272727272727273,1.4233576642335766,1.4213197969543148,0.791,High,1.6666772168258155,17.718
David Wiese,369.0,267.0,19.0,16.0,35.0,10.0,138.2,36.9,26.7,13.11,33.71,2.0,0.7777777777777778,0.0,0.0,2.3333333333333335,0.0,1.2727272727272727,1.08,0.9615384615384616,2.1785714285714284,0.0,0.0,1.7,0.0,0.0,1.4680851063829787,0.0,1.4333333333333333,0.0,0.6666666666666666,0.9423076923076923,1.5145631067961165,1.23121387283237,0.0,0.771,High,1.6086844353844612,22.938
David Willey,43.0,31.0,1.0,4.0,5.0,1.0,138.71,43.0,31.0,16.13,41.94,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,1.4,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.5,0.0,0.0,6.0,1.52,0.7142857142857143,0.0,0.096,Low,1.9610625000321276,21.927
Dawid Malan,191.0,165.0,14.0,2.0,16.0,6.0,115.76,31.83,27.5,9.7,37.58,1.6666666666666667,1.1428571428571428,0.0,0.0,0.4,1.2857142857142858,1.0,0.875,1.3333333333333333,0.8333333333333334,0.0,0.0,1.1666666666666667,0.0,0.0,1.8,0.0,0.8387096774193549,0.0,0.0,1.3125,2.25,1.1363636363636365,0.8,0.801,High,1.2732895325754605,24.998
Denesh Ramdin,36.0,52.0,1.0,0.0,1.0,3.0,69.23,12.0,17.33,1.92,44.23,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.8,0.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.8,0.6808510638297872,0.0,0.164,Low,0.80533664957914,14.901
Devon Conway,313.0,258.0,26.0,3.0,29.0,9.0,121.32,34.78,28.67,11.24,32.56,1.05,1.0,0.0,0.0,0.0,0.0,1.7222222222222223,1.5,1.0714285714285714,1.0444444444444445,0.0,0.0,1.3333333333333333,1.5,0.0,1.0,0.0,1.0689655172413792,1.1428571428571428,0.0,0.5882352941176471,1.21875,1.2589928057553956,0.99,0.837,High,1.261232164881789,27.576
Dhananjaya de Silva,201.0,162.0,15.0,4.0,19.0,7.0,124.07,28.71,23.14,11.73,30.25,0.75,1.2222222222222223,0.0,0.0,0.8,0.0,1.0,1.2,0.8,1.5714285714285714,0.0,0.0,1.4,0.0,0.0,0.8333333333333334,0.0,1.6363636363636365,0.6666666666666666,0.6666666666666666,1.5789473684210527,1.6923076923076923,1.2307692307692308,1.1355932203389831,0.873,High,1.3814045104786852,20.783
Dinesh Chandimal,74.0,73.0,6.0,3.0,9.0,6.0,101.37,12.33,12.17,12.33,53.42,1.0,1.25,0.0,0.0,0.0,0.0,0.6363636363636364,0.0,1.3333333333333333,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,0.2727272727272727,0.0,0.0,0.9866666666666667,0.408,Medium,1.5552294810537572,7.928
